Linijinė Būsto Paskola 
Mėnesis        Mėnesinė įmoka                Kreditai            Palūkanos                     Nesumokėti kreditai
1 Mėn.         49.74                         28.90               20.83                         5000.00
2 Mėn.         49.61                         28.90               20.71                         4971.10
3 Mėn.         49.49                         28.90               20.59                         4942.20
4 Mėn.         49.37                         28.90               20.47                         4913.29
5 Mėn.         49.25                         28.90               20.35                         4884.39
6 Mėn.         49.13                         28.90               20.23                         4855.49
7 Mėn.         49.01                         28.90               20.11                         4826.59
8 Mėn.         48.89                         28.90               19.99                         4797.69
9 Mėn.         48.77                         28.90               19.87                         4768.79
10 Mėn.        48.65                         28.90               19.75                         4739.88
11 Mėn.        48.53                         28.90               19.63                         4710.98
12 Mėn.        48.41                         28.90               19.51                         4682.08
13 Mėn.        19.39                         0.00                19.39                         4653.18
14 Mėn.        19.39                         0.00                19.39                         4653.18
15 Mėn.        19.39                         0.00                19.39                         4653.18
16 Mėn.        19.39                         0.00                19.39                         4653.18
17 Mėn.        19.39                         0.00                19.39                         4653.18
18 Mėn.        48.29                         28.90               19.39                         4653.18
19 Mėn.        48.17                         28.90               19.27                         4624.28
20 Mėn.        48.05                         28.90               19.15                         4595.38
21 Mėn.        47.93                         28.90               19.03                         4566.47
22 Mėn.        47.81                         28.90               18.91                         4537.57
23 Mėn.        47.69                         28.90               18.79                         4508.67
24 Mėn.        47.57                         28.90               18.67                         4479.77
25 Mėn.        47.45                         28.90               18.55                         4450.87
26 Mėn.        47.33                         28.90               18.42                         4421.97
27 Mėn.        47.21                         28.90               18.30                         4393.06
28 Mėn.        47.09                         28.90               18.18                         4364.16
29 Mėn.        46.97                         28.90               18.06                         4335.26
30 Mėn.        46.84                         28.90               17.94                         4306.36
31 Mėn.        46.72                         28.90               17.82                         4277.46
32 Mėn.        46.60                         28.90               17.70                         4248.55
33 Mėn.        46.48                         28.90               17.58                         4219.65
34 Mėn.        46.36                         28.90               17.46                         4190.75
35 Mėn.        46.24                         28.90               17.34                         4161.85
36 Mėn.        46.12                         28.90               17.22                         4132.95
37 Mėn.        46.00                         28.90               17.10                         4104.05
38 Mėn.        45.88                         28.90               16.98                         4075.14
39 Mėn.        45.76                         28.90               16.86                         4046.24
40 Mėn.        45.64                         28.90               16.74                         4017.34
41 Mėn.        45.52                         28.90               16.62                         3988.44
42 Mėn.        45.40                         28.90               16.50                         3959.54
43 Mėn.        45.28                         28.90               16.38                         3930.64
44 Mėn.        45.16                         28.90               16.26                         3901.73
45 Mėn.        45.04                         28.90               16.14                         3872.83
46 Mėn.        44.92                         28.90               16.02                         3843.93
47 Mėn.        44.80                         28.90               15.90                         3815.03
48 Mėn.        44.68                         28.90               15.78                         3786.13
49 Mėn.        44.56                         28.90               15.66                         3757.23
50 Mėn.        44.44                         28.90               15.53                         3728.32
51 Mėn.        44.32                         28.90               15.41                         3699.42
52 Mėn.        44.20                         28.90               15.29                         3670.52
53 Mėn.        44.08                         28.90               15.17                         3641.62
54 Mėn.        43.95                         28.90               15.05                         3612.72
55 Mėn.        43.83                         28.90               14.93                         3583.82
56 Mėn.        43.71                         28.90               14.81                         3554.91
57 Mėn.        43.59                         28.90               14.69                         3526.01
58 Mėn.        43.47                         28.90               14.57                         3497.11
59 Mėn.        43.35                         28.90               14.45                         3468.21
60 Mėn.        43.23                         28.90               14.33                         3439.31
