Gabija : asdasd
gabija : miau
2023-12-06 19:34:27 - Tony: Hii
2023-12-06 19:34:38 - gABIJA: Hii
2023-12-06 19:36:03 - Gabija : Hii
2023-12-06 19:36:07 - Tony : Heloo
2023-12-06 20:04:38 - Sas2 : Sveikii
2023-12-06 20:06:39 - Tony : Heyyy
2023-12-06 20:06:43 - Gabija : Hiii!!!
2023-12-06 20:06:46 - Gabija : :3
2023-12-06 20:10:23 - Tony : Hello!!!
2023-12-06 20:10:27 - Gabija : Hiiiii
2023-12-06 20:13:39 - ga : adasd
2023-12-06 20:13:45 - ad : das
2023-12-07 10:43:32 - Tony : Sveiki!
2023-12-07 10:43:35 - Gabija : Labas!!
